province,type_property,property_url,property_id,subtype_property,type_of_contract,postal_code,city
brussels,House,https://immovlan.be/en/detail/residence/for-sale/1070/anderlecht/rbw24648,rbw24648,residence,sale,1070,anderlecht
brussels,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1120/neder-over-heembeek/vbe35872,vbe35872,apartment,sale,1120,neder-over-heembeek
brussels,House,https://immovlan.be/en/detail/residence/for-sale/1070/anderlecht/rbw24647,rbw24647,residence,sale,1070,anderlecht
brussels,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1200/sint-lambrechts-woluwe/vbe35868,vbe35868,apartment,sale,1200,sint-lambrechts-woluwe
brussels,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1030/schaarbeek/vbe35864,vbe35864,apartment,sale,1030,schaarbeek
brussels,House,https://immovlan.be/en/detail/residence/for-sale/1200/sint-lambrechts-woluwe/vbe35852,vbe35852,residence,sale,1200,sint-lambrechts-woluwe
brussels,House,https://immovlan.be/en/detail/residence/for-sale/1080/sint-jans-molenbeek/rbw24639,rbw24639,residence,sale,1080,sint-jans-molenbeek
brussels,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1080/sint-jans-molenbeek/vbe35799,vbe35799,apartment,sale,1080,sint-jans-molenbeek
brussels,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1082/berchem-sainte-agathe/vbe35796,vbe35796,apartment,sale,1082,berchem-sainte-agathe
brussels,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1050/elsene/vbe35771,vbe35771,apartment,sale,1050,elsene
brussels,House,https://immovlan.be/en/detail/residence/for-sale/1160/oudergem/vbe35743,vbe35743,residence,sale,1160,oudergem
brussels,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1070/anderlecht/vbe35740,vbe35740,apartment,sale,1070,anderlecht
brussels,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1070/anderlecht/vbe35738,vbe35738,apartment,sale,1070,anderlecht
brussels,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1020/laken/vbe35734,vbe35734,apartment,sale,1020,laken
brussels,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1020/laken/vbe35725,vbe35725,apartment,sale,1020,laken
brussels,House,https://immovlan.be/en/detail/residence/for-sale/1180/ukkel/vbe35723,vbe35723,residence,sale,1180,ukkel
brussels,House,https://immovlan.be/en/detail/residence/for-sale/1000/brussels/vbe35701,vbe35701,residence,sale,1000,brussels
brussels,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1200/sint-lambrechts-woluwe/vbe35676,vbe35676,apartment,sale,1200,sint-lambrechts-woluwe
brussels,Apartment,https://immovlan.be/en/detail/duplex/for-sale/1083/ganshoren/vbe35675,vbe35675,duplex,sale,1083,ganshoren
brussels,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1083/ganshoren/vbe35673,vbe35673,apartment,sale,1083,ganshoren
brussels,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1083/ganshoren/vbe35672,vbe35672,apartment,sale,1083,ganshoren
brussels,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1083/ganshoren/vbe35671,vbe35671,apartment,sale,1083,ganshoren
brussels,House,https://immovlan.be/en/detail/villa/for-sale/1180/ukkel/vbe35660,vbe35660,villa,sale,1180,ukkel
brussels,House,https://immovlan.be/en/detail/villa/for-sale/1180/ukkel/vwd17855,vwd17855,villa,sale,1180,ukkel
brussels,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1030/schaarbeek/vbe35651,vbe35651,apartment,sale,1030,schaarbeek
brussels,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1030/schaarbeek/vbe35646,vbe35646,apartment,sale,1030,schaarbeek
brussels,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1070/anderlecht/vbe35644,vbe35644,apartment,sale,1070,anderlecht
brussels,House,https://immovlan.be/en/detail/residence/for-sale/1020/laken/vbe35643,vbe35643,residence,sale,1020,laken
brussels,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1050/elsene/vbe35614,vbe35614,apartment,sale,1050,elsene
brussels,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1190/vorst/rbw24545,rbw24545,apartment,sale,1190,vorst
brussels,House,https://immovlan.be/en/detail/residence/for-sale/1180/ukkel/rbw24543,rbw24543,residence,sale,1180,ukkel
brussels,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1080/sint-jans-molenbeek/vwd17851,vwd17851,apartment,sale,1080,sint-jans-molenbeek
brussels,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1080/sint-jans-molenbeek/rbw24005,rbw24005,apartment,sale,1080,sint-jans-molenbeek
brussels,House,https://immovlan.be/en/detail/residence/for-sale/1090/jette/rbw24004,rbw24004,residence,sale,1090,jette
brussels,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1180/ukkel/vbe35604,vbe35604,apartment,sale,1180,ukkel
brussels,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1080/sint-jans-molenbeek/vbe35603,vbe35603,apartment,sale,1080,sint-jans-molenbeek
